comb,red,green,blue
F23,16,137,137
F24,17,137,145
F25,13,136,153
F26,12,134,160
F27,13,133,169
F28,18,131,179
F29,19,128,194
F30,41,123,191
F31,101,117,185
F32,123,111,178
F33,138,107,175
F34,148,99,173
F35,161,99,165
F36,179,87,161
F37,188,82,151
F38,198,79,134
F39,213,64,122
F40,216,62,107
G0,96,96,97
G1,189,30,73
G2,189,31,53
G3,186,35,38
G4,177,52,36
G5,158,72,34
G6,145,79,34
G7,138,84,34
G8,127,90,35
G9,121,93,36
G10,115,95,38
G11,109,98,40
G12,102,100,42
G13,94,103,46
G14,84,105,46
G15,56,110,53
G16,31,111,55
G17,10,112,67
G18,11,111,78
G19,12,111,86
G20,13,110,91
G21,13,109,97
G22,11,108,104
G23,11,108,111
G24,12,108,115
G25,13,107,122
G26,18,106,128
G27,22,105,136
G28,18,104,145
G29,19,102,157
G30,31,98,165
G31,71,90,168
G32,99,85,160
G33,113,78,153
G34,125,76,147
G35,136,72,139
G36,145,69,131
G37,152,66,121
G38,158,62,109
G39,162,59,97
G40,165,60,88
H0,72,71,73
H1,139,23,56
H2,139,23,43
H3,149,26,29
H4,136,34,26
H5,122,51,24
H6,110,59,24
H7,104,63,23
H8,98,66,25
H9,89,70,32
H10,84,70,30
H11,80,73,30
H12,75,74,31
H13,69,75,32
H14,63,76,36
H15,47,81,37
H16,29,82,40
H17,13,84,51
H18,11,84,58
H19,11,83,63
H20,10,83,68
H21,11,81,73
H22,14,82,80
H23,16,80,83
H24,16,80,89
H25,17,79,92
H26,14,78,97
H27,14,79,104
H28,11,78,110
H29,6,76,119
H30,13,74,133
H31,48,63,149
H32,78,58,135
H33,94,52,129
H34,102,45,123
H35,111,43,116
H36,118,38,109
H37,130,28,87
H38,130,28,87
H39,134,25,77
H40,137,24,66
I0,48,49,49
I1,97,12,46
I2,98,12,37
I3,98,14,28
I4,87,30,26
I5,76,38,29
I6,74,41,24
I7,70,43,21
I8,60,46,32
I9,58,47,32
I10,55,48,30
I11,52,49,31
I12,51,50,33
I13,48,51,35
I14,46,51,36
I15,34,54,38
I16,25,55,32
I17,17,55,37
I18,4,57,39
I19,5,57,42
I20,6,56,47
I21,8,56,50
I22,10,55,55
I23,12,55,58
I24,13,56,63
I25,10,54,65
I26,10,54,68
I27,6,53,73
I28,1,52,77
I29,10,51,85
I30,23,51,94
I31,44,43,110
I32,54,38,95
I33,65,33,89
I34,69,35,73
I35,73,34,70
I36,86,21,71
I37,87,22,72
I38,90,17,65
I39,91,15,59
I40,94,14,53
J0,37,37,37
